,source,relation,destination
10640,economy,grow by,between 5.6 %
10641,economy,grow by,5.9 case %
10642,economy,grow by,2020
10643,China,generated For,US$ 143 billion
10644,China,generated For,February 2019
10645,China,generated For,Chinese New Year
10646,trips,reported,trains
10647,trips,dropped to,million 190 trips
10648,trips,dropped to,Chinese New Year
10649,"70,000 theatre screens",wiping,entire box office
10650,secretary Cong Liang,view,small businesses encountering
10651,secretary Cong Liang,view,more difficulties
10652,secretary Cong Liang,view,operations
10653,agricultural workers,have,difficulties
10654,Tourism,hit,travel restrictions and
10655,Tourism,hit,contagion
10656,Tourism,including,ban
10657,Tourism,including,tour groups
10658,Many airlines,reduced,flights
10659,Many airlines,reduced,China
10660,several travel advisories,warn against,travel
10661,several travel advisories,warn against,China
10662,Many countries,including,France
10663,Many countries,evacuated,Many countries
10664,Many countries,including,France
10665,Many countries,including,Wuhan United States provinces
10666,majority,extended to,majority
10667,majority,extended to,schools and
10668,majority,extended to,annual February
10669,Overseas students,enrolled at,Chinese universities
10670,Overseas students,returning over,fears
10671,Overseas students,reported by,Nepal and
10672,Overseas students,reported by,southern India
10673,Overseas students,were,students
10674,million 200 students,affected by,in school
10675,million 200 students,affected by,closures
10676,million 200 students,affected by,second semester
10677,Chunyun,resuming on,17 February
10678,Chunyun,resuming on,online classes
10679,students,follow from,students homes instead
10680,Ministry,supported,Internet cloud classroom
10681,Ministry,cater to,million elementary school student populations
10682,Chinese Ministry,announced,Transport
10683,Chinese Ministry,subsidise,personal medical costs incurred
10684,Chinese Ministry,subsidise,patients
10685,people,reported,Wuhan
10686,people,become,people
10687,people,become,Wuhan own country
10688,people,shunned by,hotels
10689,people,shunned by,areas
10690,people,placed under,controversial quarantine measures
10691,sale,affected due,outbreak
10692,Standing Committee,declared On,comprehensive ban
10693,Standing Committee,declared On,billion wildlife trade industry
10694,Standing Committee,citing,prominent problem
10695,Standing Committee,citing,excessive consumption
10696,Standing Committee,citing,wild animals
10697,Standing Committee,hide,public health and
10698,Standing Committee,revealed by,outbreak
10699,greenhouse gas emissions,reduced by,25 %
10700,pollution,attributed in,part
10701,pollution,attributed in,slowdown
10702,pollution,attributed in,economic activity
10703,pollution,attributed in,result
10704,pollution,attributed in,outbreak
10705,mainland market,see due,shortage
10706,mainland market,see due,face masks
10707,mainland market,increased,need
10708,mainland market,increased,public
10709,Shanghai customers,queue for,an hour
10710,Shanghai customers,buy,pack
10711,Shanghai customers,buy,face masks
10712,Shanghai customers,sell in,hour
10713,stores,hoarded,supplies
10714,stores,driving,prices
10715,stores,driving,market regulator cracked
10716,stores,driving,such acts
10717,shortage,relieved until,late February
10718,most workers,return from,New Year vacation
10719,most workers,according to,Lei Limin
10720,most workers,according to,industry
10721,Taobao,owned by,Alibaba Group
10722,face,face on,masks
10723,face,face on,Taobao and
10724,face,increase in,price
10725,Special subsidies,provided,retailers
10726,delivery drug service,closed during,Spring Festival
10727,We,ensure from,supply and
10728,We,ensure from,price sources
10729,We,ensuring,price stability
10730,We,ensuring,own commodities
10731,JD.com,exercised,strict control
10732,JD.com,exercised,commodities
10733,JD.com,exercised,platform
10734,party vendors,selling,face masks
10735,party vendors,raising,prices
10736,prices,confirmed,party vendors
10737,JD,offending,commodities
10738,JD,offending,shelves
10739,JD,offending,vendors
10740,Other major commerce platforms,including,Sunning.com and
10741,Other major commerce platforms,keep,prices
10742,Other major commerce platforms,keep,health products
10743,economic growth,slow by,up to 1.1 %
10744,economic growth,slow by,first half
10745,economic growth,slow by,2020
10746,economic activity,affected by,new coronavirus pandemic
10747,economic activity,according to,Morgan Stanley study cited
10748,economic activity,according to,Reuters
10749,impact,say on,epidemic
10750,impact,say on,economy
10751,fundamentals,was,high growth
10752,economists,predicted In,shaped recovery
10753,Shanghai Stock Exchange,announced Due,approval
10754,Shanghai Stock Exchange,announced Due,Securities Regulatory Commission
10755,closing time,announced Due,Spring Festival
10756,closing time,extended to,2 February
10757,trading,resume on,3 February
10758,three major stock indexes,creating,drop
10759,three major stock indexes,creating,about 3 %
10760,Shanghai Composite Index,fall below,3000
10761,three major indexes,set On,record low opening
10762,three major indexes,set On,8 %
10763,decline,narrowed By,7 %
10764,Shenzhen index,fall below,"10,000 points"
10765,total,fall below,"3,177 stocks"
10766,total,fall below,two markets
10767,bank Renminbi foreign exchange market,announced,foreign market
10768,bank Renminbi foreign exchange market,extend,bank Renminbi foreign exchange market
10769,foreign currency,extend,market
10770,foreign currency,closed until,2 February 2020
10771,market,opened on,3 February
10772,Renminbi,depreciating against,major foreign currencies
10773,central parity rate,opened at,6.9249
10774,central parity rate,opened at,373 basis points
10775,central parity rate,opened at,previous trading day
10776,central parity rate,fall below,7.00
10777,central parity rate,fall below,hour opening
10778,central parity rate,closed at,7.0257
10779,China,grow by,0.1–2.3 %
10780,China,grow by,lowest growth rate
10781,China,grow by,decades
10782,Premier Li Keqiang,announced On,first time
10783,Premier Li Keqiang,announced On,history
10784,central government,set for,economic growth target
10785,central government,set for,2020
10786,economy,contracted by,6.8 %
10787,economy,compared to,2019 and
10788,China,facing,unpredictable time
10789,government,stated,intention
10790,government,create until,million new urban 9 jobs
10791,government,create until,end
10792,government,create until,2020
10793,quarter GDP,grow with,4.9 %
10794,quarter GDP,missing,analysts expectations
10795,quarter GDP,set at,"5,2 %"
10796,economy,recovering from,coronavirus shock
10797,economy,caused,low growth
10798,China,set for,hundreds
10799,China,set for,billions
10800,China,set for,dollars
10801,China,set for,major infrastructure projects
10802,China,utilized,population policies
10803,China,enforced,stringent lockdown
10804,China,contain,virus
10805,It,grow in,2020
10806,It,according to,International Monetary Fund
10807,economic recovery,increasing,demand
10808,economic recovery,manufactured,goods
10809,Centre,based,Economics Research
10810,skilful management,projected,pandemic
10811,Chinese economy,surpass,United States
10812,Chinese economy,become by,nominal GDP
10813,Chinese economy,become by,2028
10814,profile protests,see,tourist arrivals
10815,profile protests,see,mainland China
10816,profile protests,plummet over,month period
10817,viral epidemic,put on,additional pressure
10818,viral epidemic,put on,travel sector
10819,viral epidemic,withstand,prolonged period
10820,viral epidemic,withstand,downturn
10821,drop,cited as,concern
10822,Hong Kong,is,recession
10823,Moody,lowered,credit rating
10824,hostile sentiment,renewed,mainland Chinese
10825,hostile sentiment,strengthened over,fears
10826,hostile sentiment,strengthened over,viral transmission
10827,hostile sentiment,strengthened over,mainland China
10828,border ports,closed,mainland Chinese travellers
10829,border ports,refused,entry
10830,Incidents,included,number
10831,Incidents,included,petrol bombs
10832,Incidents,throw at,police stations
10833,Incidents,exploding in,toilet
10834,foreign objects,throw onto,transit rail tracks
10835,foreign objects,throw onto,Hong Kong and
10836,Political issues,included,concerns
10837,mainland Chinese,travel to,Hong Kong
10838,mainland Chinese,seek,free medical help
10839,mainland Chinese,addressed by,Hong Kong government
10840,significant number,sell Since,Hong Kong
10841,significant number,including,face masks and
10842,significant number,including,such disinfectant alcohol and
10843,many stores,cleared of,medical products
10844,many stores,cleared of,bottled water
10845,Government,had,Hong Kong
10846,Government,had,imports
10847,Government,had,face masks cancelled
10848,Education Bureau,closed In,kindergartens
10849,Education Bureau,closed In,17 February
10850,schools,suspended until,further notice
10851,schools,suspended until,31 March
10852,disruption,raised,concerns
10853,disruption,raised,situation
10854,disruption,raised,students
10855,who,take at,examinations
10856,who,take at,end
10857,who,take at,year
10858,who,take at,light
10859,who,related,disruption
10860,who,happened in,2019
10861,carrier Cathay Pacific,requested On,flag carrier
10862,carrier Cathay Pacific,take by,three weeks
10863,carrier Cathay Pacific,take by,unpaid leave
10864,carrier Cathay Pacific,take by,end
10865,carrier Cathay Pacific,take by,June
10866,carrier Cathay Pacific,reduced by,flights
10867,carrier Cathay Pacific,reduced by,mainland China
10868,carrier Cathay Pacific,reduced by,90 %
10869,carrier Cathay Pacific,reduced by,overall flights
10870,carrier Cathay Pacific,reduced by,30 %
10871,casinos,shut for,15 days
10872,casinos,reopened on,20 February 2020
10873,visitor numbers,remained due,pandemic
10874,visitor numbers,remained due,hotels
10875,visitor numbers,remained due,less than 12 % occupancy
10876,visitor numbers,remained due,end
10877,visitor numbers,remained due,February
10878,new coronavirus,having,major impact
10879,new coronavirus,having,tourism
10880,new coronavirus,having,whole
10881,Face masks,sell across,nation and
10882,Face masks,sell across,face masks
10883,Face masks,depleted within,day
10884,Face masks,depleted within,new arrivals
10885,Chinese people,increasing,discrimination
10886,situation,reached,point
10887,Aviation sectors,decreased,sales
10888,manufactures,complained about,disruption
10889,manufactures,complained about,Chinese factories
10890,Prime Minister Abe,using,emergency funds
10891,Prime Minister Abe,mitigate,impact
10892,Prime Minister Abe,mitigate,tourism
10893,Prime Minister Abe,mitigate,which
10894,Chinese nationals,account for,40 %
10895,worst hit shares,were,companies spanning
10896,worst hit shares,were,travel
10897,worst hit shares,exposed to,Chinese tourism
10898,worst hit shares,were,companies spanning
10899,worst hit shares,were,travel
10900,worst hit shares,exposed to,Chinese tourism
10901,worst hit shares,delay to,shipment
10902,worst hit shares,delay to,Nintendo Switch
10903,worst hit shares,manufactured in,China
10904,worst hit shares,manufactured in,Japan
10905,outbreak,been,2020 Summer Olympics
10906,outbreak,take in,place
10907,outbreak,take in,Tokyo
10908,outbreak,starting at,end
10909,outbreak,starting at,July
10910,national government,taking,extra precautions
10911,national government,minimise,impact
10912,Tokyo organising committee,monitoring,impact
10913,Tokyo organising committee,monitoring,Japan
10914,Japanese elementary,close until,late March
10915,Japanese elementary,close until,school year
10916,Japanese elementary,contain,virus
10917,Schools,reopen for,next term
10918,Schools,reopen for,spring break
10919,Schools,reopen for,early April
10920,nationwide closures,affect,million 13 students
10921,Hyundai Motor Company,suspend due,production
10922,Hyundai Motor Company,suspend due,South Korea
10923,Hyundai Motor Company,suspend due,shortage
10924,Hyundai Motor Company,suspend due,supply
10925,Hyundai Motor Company,suspend due,parts
10926,South Korea,increasing since,human human
10927,South Korea,increasing since,community transmission
10928,South Korea,increasing since,COVID-19
10929,South Korea,increasing since,19 February 2020
10930,South Korea,traced to,church
10931,South Korea,traced to,Shincheonji
10932,South Korea,located near,city
10933,South Korea,located near,Daegu
10934,most,involved,South Korea
10935,most,operating,normality
10936,South Korean military manpower agency,make,announcement
10937,conscription,make,Daegu
10938,Daegu Office,postpone by,start
10939,Daegu Office,postpone by,school
10940,Daegu Office,postpone by,region
10941,Daegu Office,postpone by,one week
10942,Numerous educational institutes,including,dozens
10943,Numerous educational institutes,including,kindergartens
10944,Numerous educational institutes,including,Daegu
10945,Numerous educational institutes,including,several elementary Seoul
10946,most universities,announced As,plans
10947,most universities,postpone,start
10948,most universities,postpone,spring semester
10949,kindergartens,delay,semester
10950,kindergartens,start from,2
10951,kindergartens,start from,9 March
10952,economy,is,2.1 %
10953,government,win for,won
10954,government,win for,local governments
10955,government,win for,support
10956,government,organised,procurement
10957,government,organised,masks and
10958,Taiwanese government,announced On,temporary ban
10959,Taiwanese government,announced On,export
10960,Taiwanese government,announced On,face masks
10961,Taiwanese government,announced On,month
10962,Taiwanese government,announced On,order
10963,Taiwanese government,secure,supply
10964,Taiwanese government,secure,masks
10965,Taiwanese government,secure,central government own citizens
10966,Epidemic Command Center,postponed On,opening
10967,Epidemic Command Center,postponed On,primary schools
10968,Epidemic Command Center,postponed On,25 February
10969,Taiwan,announced,ban
10970,Taiwan,announced,cruise ships
10971,Taiwan,entering,Taiwanese ports
10972,Italy,banned In,flights
10973,Italy,banned In,mainland China
10974,Philippines,ban,entry
10975,Philippines,ban,Taiwanese citizens
10976,Philippines,ban,China Policy
10977,Presidential Spokesperson,announced on,lifting
10978,Presidential Spokesperson,announced on,temporary ban
10979,Presidential Spokesperson,announced on,Taiwan
10980,Epidemic Command Center,requested In,mobilisation
10981,Epidemic Command Center,requested In,Taiwanese Armed Forces
10982,Epidemic Command Center,contain,spread
10983,Epidemic Command Center,contain,virus
10984,Epidemic Command Center,build,defences
10985,Epidemic Command Center,build,virus
10986,Soldiers,dispatched to,factory floors
10987,Soldiers,dispatched to,major mask manufacturers
10988,Soldiers,staff,62 additional mask production lines
10989,Soldiers,set at,time
10990,Italy,announced,ban
10991,Italy,announced,Taiwanese flights
10992,largest Taiwanese carrier,postponed On,launch
10993,largest Taiwanese carrier,postponed On,Milan flights
10994,Taiwanese airlines,cut,strait destinations
10995,Taiwanese airlines,leaving,three Chinese cities
10996,economists,expect In,term impact
10997,economists,expect In,outbreak
10998,economists,limited to,supply chains
10999,economists,limited to,major conglomerates
11000,severe impact,expected due,disruption
11001,severe impact,expected due,logistics
11002,severe impact,expected due,mainland China
11003,severe impact,combined,risk
11004,severe impact,combined,regional geopolitical tensions
11005,stock market,take in,bearish mode
11006,stock market,take in,response
11007,stock market,take in,COVID-19
11008,2919 NIFTY,fall in,single day
11009,2919 NIFTY,fall in,12 March 2020
11010,Indian government,banned On,export
11011,Indian government,banned On,ventilators
11012,Indian government,banned On,textile raw China
11013,Oil,plummeted to,18-year low
11014,Oil,plummeted to,$ 22
11015,Oil,plummeted to,barrel
11016,Oil,plummeted to,March
11017,Foreign Portfolio Investors,withdraw from,huge amounts
11018,Foreign Portfolio Investors,withdraw from,India
11019,lower oil prices,shrink,current account deficit
11020,reverse capital flows,expand,reverse capital flows
11021,MSMEs,undergo,severe cash crunch
11022,Economy,faced,devastating impact
11023,Economy,faced,coronavirus outbreak
11024,Economy,faced,Pakistan
11025,Economy,was,recessionary conditions
11026,Economy,was,quarter
11027,Economy,was,pandemic
11028,most citizens,were,pandemic conditions
11029,most citizens,were,time
11030,most citizens,were,outbreak
11031,Forecasts,eased in,late May 2020
11032,Pakistan,face,Pakistan
11033,Pakistan,face,first annual economic recession
11034,Pakistan,face,1952
11035,civil society organizations,providing to,relief
11036,civil society organizations,providing to,public
11037,civil society organizations,providing to,national lockdown
11038,economic impact,limited to,term impact
11039,economic impact,limited to,tourism sectors
11040,city state,hit,countries
11041,city state,hit,Maybank
11042,tourism sector,be,immediate effects
11043,tourism sector,be,production lines
11044,tourism sector,be,due disruption
11045,tourism sector,be,factories and
11046,tourism sector,be,mainland China
11047,Singapore,witnessed despite,panic buying
11048,Singapore,witnessed despite,essential groceries
11049,Singapore,witnessed despite,masks
11050,Singapore,doing by,Government
11051,recession,say,China
11052,economy,take,hit
11053,Ministry,downgraded On,forecast GDP growth
11054,Ministry,downgraded On,% and
11055,Economy,believed,Pakistan
11056,Economy,contract by,between 1 %
11057,Economy,contract by,% 2020
11058,Economy,was,Pakistan
11059,Economy,shrink in,first quarter
11060,Economy,shrink in,2020
11061,Economy,shrink in,same quarter
11062,Economy,shrink in,2019
11063,Economy,expected,contraction
11064,Economy,expected,2.2 %
11065,MTI,revising in,MTI expectation
11066,MTI,revising in,Economy
11067,MTI,revising in,Pakistan
11068,MTI,revising in,2020
11069,MTI,shrink by,4 % to 7 %
11070,Economists,were,curve
11071,Economists,downgrading,Economists numbers
11072,ASEAN economies,had,success
11073,ASEAN economies,containing,virus
11074,presence,containing,global uncertainties
11075,Thailand,contain,virus
11076,Thailand,was,tourism
11077,Thailand,form,substantial part
11078,Thailand,form,Thailand economy
11079,Minister Hun Sen,make with,special visit
11080,Minister Hun Sen,make with,China
11081,Minister Hun Sen,make with,aim
11082,Minister Hun Sen,showcase to,support
11083,Minister Hun Sen,showcase to,China
11084,Minister Hun Sen,fighting,outbreak
11085,Minister Hun Sen,fighting,epidemic
11086,Maybank economists,rated as,Thailand
11087,Maybank economists,being,risk
11088,Maybank economists,being,threat
11089,Maybank economists,being,viral impact
11090,Maybank economists,being,tourism
11091,Thai baht,fall to,month low
11092,"over 10,000 Chinese tourists",cancelled In,trips and
11093,"over 10,000 Chinese tourists",cancelled In,major destinations
11094,"over 10,000 Chinese tourists",cancelled In,such Bali
11095,Indonesian authority,extended,stay
11096,Panic buying,hit,capital city
11097,cases,reported,COVID-19
11098,cases,announced by,government
11099,cases,announced by,3 March
11100,outbreak,affect,GDP
11101,two cycling teams,participating in,race
11102,two cycling teams,participating in,fear
11103,two cycling teams,participating in,coronavirus pandemic
11104,outbreak situation,worsened,upcoming concerts held
11105,outbreak situation,worsened,China
11106,outbreak situation,worsened,Kenny G
11107,outbreak situation,postponed to,future date
11108,Philippines GDP,contracted by,9.5 %
11109,Philippines GDP,contracted by,2020
11110,Philippines GDP,contracted by,World War II
11111,year contraction,was,1998
11112,year contraction,was,Asian financial crisis
11113,China GDP,grow by,%
11114,2020 contraction,was,7 % contraction
11115,2020 contraction,was,1984
11116,who,prevent,spread
11117,who,prevent,coronavirus
11118,who,be,East Asia region
11119,who,grow in,2020
11120,Rouhani,withdraw from,billion 1 dollars
11121,Rouhani,withdraw from,National Development Fund and
11122,Rouhani,allowed,withdrawal
11123,Rouhani,allowed,eleven days
11124,20 %,announced On,annual budget
11125,20 %,fight,virus
11126,following day Rouhani,defended against,criticisms
11127,following day Rouhani,defended against,response
11128,following day Rouhani,defended against,outbreak
11129,Rouhani,protecting,economy
11130,Rouhani,affected by,US sanctions
11131,Rouhani,fighting,worst outbreak
11132,Rouhani,fighting,region
11133,Israel,hit,countries
11134,Israel,hit,COVID-19 pandemic
11135,national unemployment rate,reached By,24.4 percent
11136,"more than 844,000 individuals",applied for,unemployment benefits—90
11137,%,applied for,whom
11138,%,placed on,unpaid leave
11139,%,placed on,pandemic
11140,Israel,issue Following,green passports
11141,Israel,issue Following,individuals
11142,who,received,2nd vaccine dose
11143,indefinite access,allow,many places and
11144,indefinite access,allow,those
11145,indefinite access,allow,negative COVID-19 test result
11146,infection rates,eased,restrictions and
11147,infection rates,eased,economic China
11148,"5,227,689 Israelis",received As,1 dose
11149,"5,227,689 Israelis",received As,vaccine
11150,"5,227,689 Israelis",received As,out which
11151,"4,739,694",have of,2 doses
11152,Prime Minister Netanyahu,announced On,economic rescue package totaling
11153,Prime Minister Netanyahu,announced On,billion 80 shekels
11154,Prime Minister Netanyahu,was,6 GDP
11155,economic rescue package,totaling,billion 80 shekels
11156,economic rescue package,allocated to,health care
11157,economic rescue package,allocated to,small businesses
11158,economic rescue package,allocated to,financial stimulus
11159,Israel,pay,Russia
11160,Israel,make,V vaccine doses
11161,Israel,make,Syria
11162,Israel,make,part
11163,Israel,mediated,prisoner swap agreement
11164,economy,shrink by,2.4 %
11165,economy,following in,3.4 % and
11166,economy,following in,3.5 % 2019 and
11167,Economy,is,Pakistan
11168,Economy,shrink by,5 %
11169,Saudi Arabia,halted On,travel
11170,Saudi Arabia,halted On,Mecca and
11171,Saudi Arabia,halted On,coronavirus
11172,Travel,suspended to,mosque
11173,Travel,suspended to,Medina
11174,Images,emptied,ṣaḥn
11175,Images,emptied,Great Mosque
11176,Images,emptied,Mecca
11177,pilgrims,performing around,tawaf
11178,pilgrims,performing around,Kaaba
11179,pilgrims,go on,social media
11180,COVID-19 pandemic,pressured,property sector
11181,COVID-19 pandemic,dealing with,imbalance
11182,COVID-19 pandemic,dealing with,supply and
11183,COVID-19 pandemic,dealing with,years
11184,property firms,reported,losses following
11185,property firms,reported,surge
11186,property firms,reported,COVID-19
11187,Emaar,reported,58 % loss
11188,Emaar,reported,net profit
11189,DAMAC Properties,reported,net loss
11190,DAMAC Properties,reported,billion 1.04 dirhams
11191,DAMAC Properties,reported,year 2020
11192,restrictions,caused In,great impact
11193,restrictions,caused In,business activities
11194,restrictions,recover from,impact
11195,restrictions,recover from,Covid-19 pandemic
11196,IHS Markit,compiled,Purchasing Index
11197,IHS Markit,rise to,51
11198,IHS Markit,rise to,50.9
11199,IHS Markit,rise to,February 2021
11200,IHS Markit,landing in,contraction zone
11201,IHS Markit,landing in,one point
11202,global supply difficulties,led to,constraint profit margins
11203,global supply difficulties,led to,need
11204,global supply difficulties,forced,firms
11205,global supply difficulties,lower,output charges
11206,large number,including,Chinese firms Huawei and
11207,large number,announced In,plans
11208,large number,reduce,large number
11209,large number,reduce,exhibitors
11210,large number,including,Chinese firms Huawei and
11211,it,host,host
11212,1 February most masks,sell Owing,Portuguese pharmacies
11213,epidemic,admitted On,new coronavirus
11214,epidemic,admitted On,China
11215,epidemic,affect,economic activity
11216,epidemic,affect,powerful economy
11217,epidemic,affect,economic activity
11218,Rebelo de Sousa,admitted,possibility
11219,Rebelo de Sousa,admitted,economic upheavals
11220,Rebelo de Sousa,admitted,break
11221,Rebelo de Sousa,admitted,production
11222,Swiss government,banned On,public gatherings
11223,Swiss government,banned On,"more than 1,000 people"
11224,Swiss government,banned On,15 March
11225,Swiss government,forcing through,cancellation
11226,Swiss government,forcing through,International Motor Show
11227,Thierry Breton,streaming,video services operating
11228,Thierry Breton,streaming,EU
11229,Thierry Breton,reduce,amount
11230,Thierry Breton,reduce,bandwidth used
11231,Thierry Breton,streaming,video services operating
11232,Thierry Breton,streaming,EU services
11233,Thierry Breton,streaming,order
11234,Thierry Breton,preserve,capacity and
11235,Netflix,complied with,request
11236,corporate investment,estimate,EU
11237,corporate investment,fall by,between 31 %
11238,corporate investment,fall by,% favourable scenarios
11239,corporate investment,fall by,pandemic
11240,European Investment Bank,estimate,strong policy intervention
11241,58 %,estimate,EU firms
11242,58 %,face after,liquidity shortfalls
11243,58 %,face after,3 months
11244,58 %,face after,lockdown
11245,French economy,was,recession
11246,French economy,shrinking by,6 percent
11247,French economy,shrinking by,first quarter
11248,French economy,shrinking by,2020
11249,outbreak,According to,novel coronavirus
11250,outbreak,According to,COVID-19
11251,outbreak,contribute to,recession
11252,outbreak,contribute to,Germany
11253,3 %,including,"70,000 restaurant staff"
11254,3 %,lose By,3 %
11255,3 %,lose By,people
11256,3 %,including,"70,000 restaurant staff"
11257,3 %,including,bar staff)—had restrictions brought
11258,3 %,delay,spread
11259,numbers,dropped by,percentages
11260,numbers,dropped by,sixties
11261,Regina Doherty,announced,Pandemic Unemployment Payment
11262,COVID-19 Pandemic Unemployment Payment,extended for,nine weeks
11263,COVID-19 Pandemic Unemployment Payment,extended for,5 June
11264,Wage Subsidy Scheme,announced for,week run beginning
11265,Wage Subsidy Scheme,announced for,26 March
11266,Heather Humphreys,announced On,details
11267,Heather Humphreys,announced On,Restart Grant
11268,Heather Humphreys,give,direct grant aid
11269,Heather Humphreys,give,"between 2,000 and"
11270,Heather Humphreys,give,small businesses
11271,Heather Humphreys,help,small businesses
11272,Heather Humphreys,help,costs associated
11273,Heather Humphreys,employing,workers
11274,Heather Humphreys,following,COVID-19 closures
11275,Government,signed On,6.8 billion
11276,Government,signed On,extra funding
11277,Government,signed On,Department
11278,Government,signed On,Employment Affairs and
11279,Social it,reach,spending limit
11280,Government,launched On,billion Jobs Stimulus package
11281,Government,launched On,50 measures
11282,Government,boost,economic recovery
11283,people,get,work
11284,measures,include,extension
11285,measures,include,COVID-19 Pandemic Unemployment Payment
11286,measures,include,April 2021
11287,measures,include,Wage Subsidy Scheme
11288,measures,include,Wage Subsidy Scheme
11289,measures,include,September 2020
11290,measures,run until,April 2021
11291,Ireland,was,recession
11292,economy,shrink by,6.1 %
11293,economy,shrink by,April and
11294,impact,shrink by,COVID-19
11295,impact,bring following,largest quarterly drop
11296,impact,bring following,record
11297,impact,following,new figures published
11298,impact,following,Central Statistics Office
11299,least ten towns,locked On,quarantine procedure
11300,least ten towns,following,outbreak
11301,least ten towns,following,town
11302,least ten towns,following,Codogno
11303,least ten towns,following,Lombardy
11304,Police,mandated,curfew closing
11305,Police,mandated,public buildings
11306,Police,controlling to,access
11307,Police,controlling to,police checkpoints
11308,Police,called,red zone
11309,Police,enforced under,penalty
11310,Police,enforced under,fines
11311,Police,enforced under,trespassers
11312,sending,sending in,armed forces
11313,sending,enforce,lockdown
11314,sending,was,possibility
11315,Schools,closed throughout,Northern Italy
11316,Schools,closed throughout,museums
11317,various festivities,cancelled as,23 February
11318,closures,extended to,schools and
11319,Sustained panic buying,cleared,supermarkets
11320,several major events,cancelled,annual Carnival
11321,several major events,cancelled,Venice
11322,several major events,cancelled,cancellation
11323,several major events,match on,matches
11324,several major events,match on,23 February
11325,several major events,match on,Sports Ministry
11326,Concerns,led to,several fashion houses declaring
11327,Concerns,led to,Milan Fashion Week
11328,Concerns,hold,broadcast
11329,Concerns,hold,door spectators
11330,190,been,which
11331,190,confirmed by,Superiore di Sanità
11332,number,rise to,"15,113"
11333,number,including,"1,016 fatalities"
11334,Italy,declared On,wide quarantine
11335,residents,need Since,special form
11336,residents,leave,residents homes
11337,shops,closed except,food shops and
11338,1 February most masks,sell Due,Portuguese pharmacies
11339,epidemic,admitted On,new coronavirus
11340,epidemic,admitted On,China
11341,epidemic,affect,economic activity
11342,epidemic,affect,powerful economy
11343,epidemic,affect,economic activity
11344,Rebelo de Sousa,admitted,possibility
11345,Rebelo de Sousa,admitted,economic upheavals
11346,Rebelo de Sousa,admitted,break
11347,Rebelo de Sousa,admitted,production
11348,JCB,reduce due,working hours and
11349,JCB,reduce due,shortages
11350,JCB,reduce due,heavy JCB supply chain caused
11351,JCB,reduce due,outbreak
11352,British airline Flybe,collapsed into,administration
11353,British airline Flybe,collapsed into,loss
11354,British airline Flybe,collapsed into,"2,000 jobs"
11355,British airline Flybe,secure,financial support
11356,impact,say,coronavirus pandemic
11357,impact,blame for,British collapse
11358,Flybe,provided,more than half
11359,Flybe,provided,UK domestic flights
11360,Flybe,provided,London
11361,exports,included,Scotch whisky
11362,Distillers,close for,time and
11363,Distillers,experienced,major slump
11364,Scotch whisky sector,experienced According,£ 1.1 billion
11365,Scotch whisky sector,lose,sales
11366,BBC News headline,summarized,situation
11367,Scotch whisky exports,slump to,lowest
11368,Scotch whisky exports,slump to,decade
11369,Tourism,declined due,restrictions and
11370,entry,permitted For,UK
11371,Business travel,declined by,90 %
11372,Business travel,declined by,previous years
11373,Canadian Minister Justin Trudeau,announced On,creation
11374,Canadian Minister Justin Trudeau,announced On,new cabinet committee
11375,Canadian Minister Justin Trudeau,manage,federal response
11376,Canadian Minister Justin Trudeau,manage,coronavirus disease
11377,government,announced on,billion Response Fund
11378,government,included,million 50 contribution
11379,government,included,World Health Organization
11380,government,fund,coronavirus research
11381,government,fund,Canada
11382,Bank,lowered On,overnight rate target
11383,Bank,lowered On,50 basis points
11384,Bank,lowered On,0.75 percent
11385,Bank,lowered On,unscheduled rate decision citing
11386,Bank,lowered On,negative shocks
11387,Bank,lowered On,economy arising
11388,Bank,lowered On,COVID-19 pandemic and
11389,Bank,lowered On,oil prices
11390,Canada,lose In,credit rating
11391,unemployment rate,say,Mexico
11392,unemployment rate,increased from,3.6 %
11393,unemployment rate,increased from,January 2020
11394,unemployment rate,increased from,3.7 %
11395,unemployment rate,increased from,February 2020
11396,informal sector,increased to,56.3 %
11397,informal sector,increased to,February
11398,informal sector,compared to,56.0 %
11399,informal sector,compared to,February 2019
11400,BBVA México,predicted,4.5 % economic contraction
11401,BBVA México,predicted,2020
11402,analysts,predicted,Capital Economics
11403,analysts,predicted,London
11404,government,do,more
11405,government,support,economy
11406,Government,forecast,6 % contraction
11407,Government,forecast,2020
11408,performance,say,economy
11409,performance,depend on,response
11410,performance,depend on,COVID-19 crisis
11411,Mexican Stock Exchange,fall to,record low
11412,Mexican Stock Exchange,fall to,10 March
11413,Mexican Stock Exchange,fall to,fears
11414,Mexican Stock Exchange,fall to,coronavirus
11415,Mexican Stock Exchange,falling,oil prices
11416,Bank,prop,value
11417,Bank,prop,peso
11418,World markets,fall,those
11419,World markets,fall,1987
11420,Nacional Empresarial Turístico,send in,two letters
11421,Nacional Empresarial Turístico,send in,March
11422,Nacional Empresarial Turístico,send in,Alfonso Romo
11423,Nacional Empresarial Turístico,send in,Staff
11424,Nacional Empresarial Turístico,send in,President
11425,Nacional Empresarial Turístico,send in,Mexico
11426,Nacional Empresarial Turístico,outlining,importance
11427,Nacional Empresarial Turístico,outlining,tourism
11428,Nacional Empresarial Turístico,outlining,economy
11429,Nacional Empresarial Turístico,asking for,government support
